Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,3,0.185,1,0.0
graphs/WS-1000.adjlist,3,0.19,1,0.0
graphs/WS-1000.adjlist,3,0.195,1,0.0
graphs/WS-1000.adjlist,3,0.2,1,0.0
graphs/WS-1000.adjlist,3,0.205,1,0.0
graphs/WS-1000.adjlist,3,0.21,1,0.0
graphs/WS-1000.adjlist,3,0.215,1,0.0
graphs/WS-1000.adjlist,3,0.22,1,0.0
graphs/WS-1000.adjlist,3,0.225,1,0.0001
graphs/WS-1000.adjlist,3,0.23,1,0.0012
graphs/WS-1000.adjlist,3,0.235,1,0.0056
graphs/WS-1000.adjlist,3,0.24,1,0.0185
graphs/WS-1000.adjlist,3,0.245,1,0.0412
graphs/WS-1000.adjlist,3,0.25,1,0.0653
graphs/WS-1000.adjlist,3,0.255,1,0.0857
graphs/WS-1000.adjlist,3,0.26,1,0.1019
graphs/WS-1000.adjlist,3,0.265,1,0.1187
graphs/WS-1000.adjlist,3,0.27,1,0.1294
graphs/WS-1000.adjlist,3,0.275,1,0.1463
graphs/WS-1000.adjlist,3,0.28,1,0.1617
graphs/WS-1000.adjlist,3,0.285,1,0.1728
graphs/WS-1000.adjlist,3,0.29,1,0.185
graphs/WS-1000.adjlist,3,0.295,1,0.1982
graphs/WS-1000.adjlist,3,0.3,1,0.2091
graphs/WS-1000.adjlist,3,0.305,1,0.2183
graphs/WS-1000.adjlist,3,0.31,1,0.2292
graphs/WS-1000.adjlist,3,0.315,1,0.2409
graphs/WS-1000.adjlist,4,0.16,1,0.0
graphs/WS-1000.adjlist,4,0.165,1,0.0
graphs/WS-1000.adjlist,4,0.17,1,0.0
graphs/WS-1000.adjlist,4,0.175,1,0.0
graphs/WS-1000.adjlist,4,0.18,1,0.0
graphs/WS-1000.adjlist,4,0.185,1,0.0
graphs/WS-1000.adjlist,4,0.19,1,0.0
graphs/WS-1000.adjlist,4,0.195,1,0.0
graphs/WS-1000.adjlist,4,0.2,1,0.0
graphs/WS-1000.adjlist,4,0.205,1,0.0001
graphs/WS-1000.adjlist,4,0.21,1,0.0001
graphs/WS-1000.adjlist,4,0.215,1,0.0005
graphs/WS-1000.adjlist,4,0.22,1,0.0034
graphs/WS-1000.adjlist,4,0.225,1,0.0085
graphs/WS-1000.adjlist,4,0.23,1,0.0282
graphs/WS-1000.adjlist,4,0.235,1,0.0537
graphs/WS-1000.adjlist,4,0.24,1,0.0717
graphs/WS-1000.adjlist,4,0.245,1,0.0918
graphs/WS-1000.adjlist,4,0.25,1,0.109
graphs/WS-1000.adjlist,4,0.255,1,0.1242
graphs/WS-1000.adjlist,4,0.26,1,0.1384
graphs/WS-1000.adjlist,4,0.265,1,0.15
graphs/WS-1000.adjlist,4,0.27,1,0.1648
graphs/WS-1000.adjlist,4,0.275,1,0.1791
graphs/WS-1000.adjlist,4,0.28,1,0.1913
graphs/WS-1000.adjlist,4,0.285,1,0.2008
graphs/WS-1000.adjlist,4,0.29,1,0.2108
graphs/WS-1000.adjlist,4,0.295,1,0.2217
graphs/WS-1000.adjlist,4,0.3,1,0.2303
graphs/WS-1000.adjlist,4,0.305,1,0.2407
graphs/WS-1000.adjlist,4,0.31,1,0.249
graphs/WS-1000.adjlist,4,0.315,1,0.2585
graphs/WS-1000.adjlist,5,0.16,1,0.0
graphs/WS-1000.adjlist,5,0.165,1,0.0
graphs/WS-1000.adjlist,5,0.17,1,0.0
graphs/WS-1000.adjlist,5,0.175,1,0.0
graphs/WS-1000.adjlist,5,0.18,1,0.0
graphs/WS-1000.adjlist,5,0.185,1,0.0
graphs/WS-1000.adjlist,5,0.19,1,0.0
graphs/WS-1000.adjlist,5,0.195,1,0.0
graphs/WS-1000.adjlist,5,0.2,1,0.0
graphs/WS-1000.adjlist,5,0.205,1,0.0001
graphs/WS-1000.adjlist,5,0.21,1,0.0024
graphs/WS-1000.adjlist,5,0.215,1,0.0095
