Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,8,0.16,1,0.0985
graphs/WS-1000.adjlist,8,0.165,1,0.1263
graphs/WS-1000.adjlist,8,0.17,1,0.151
graphs/WS-1000.adjlist,8,0.175,1,0.1675
graphs/WS-1000.adjlist,8,0.18,1,0.1834
graphs/WS-1000.adjlist,8,0.185,1,0.1941
graphs/WS-1000.adjlist,8,0.19,1,0.2105
graphs/WS-1000.adjlist,8,0.195,1,0.2274
graphs/WS-1000.adjlist,9,0.14,1,0.0132
graphs/WS-1000.adjlist,9,0.145,1,0.045
graphs/WS-1000.adjlist,9,0.15,1,0.0756
graphs/WS-1000.adjlist,9,0.155,1,0.1008
graphs/WS-1000.adjlist,9,0.16,1,0.121
graphs/WS-1000.adjlist,9,0.165,1,0.1458
graphs/WS-1000.adjlist,9,0.17,1,0.1634
graphs/WS-1000.adjlist,9,0.175,1,0.1813
graphs/WS-1000.adjlist,9,0.18,1,0.1981
graphs/WS-1000.adjlist,9,0.185,1,0.2101
graphs/WS-1000.adjlist,9,0.19,1,0.2241
graphs/WS-1000.adjlist,9,0.195,1,0.2324
graphs/WS-1000.adjlist,10,0.14,1,0.0365
graphs/WS-1000.adjlist,10,0.145,1,0.0663
graphs/WS-1000.adjlist,10,0.15,1,0.0933
graphs/WS-1000.adjlist,10,0.155,1,0.1151
graphs/WS-1000.adjlist,10,0.16,1,0.1384
graphs/WS-1000.adjlist,10,0.165,1,0.1607
graphs/WS-1000.adjlist,10,0.17,1,0.1785
graphs/WS-1000.adjlist,10,0.175,1,0.1903
graphs/WS-1000.adjlist,10,0.18,1,0.2069
graphs/WS-1000.adjlist,10,0.185,1,0.2207
graphs/WS-1000.adjlist,10,0.19,1,0.2362
graphs/WS-1000.adjlist,10,0.195,1,0.2475
graphs/WS-1000.adjlist,11,0.14,1,0.0559
graphs/WS-1000.adjlist,11,0.145,1,0.0878
graphs/WS-1000.adjlist,11,0.15,1,0.1164
graphs/WS-1000.adjlist,11,0.155,1,0.1342
graphs/WS-1000.adjlist,11,0.16,1,0.1587
graphs/WS-1000.adjlist,11,0.165,1,0.1747
graphs/WS-1000.adjlist,11,0.17,1,0.1916
graphs/WS-1000.adjlist,11,0.175,1,0.2032
graphs/WS-1000.adjlist,11,0.18,1,0.2201
graphs/WS-1000.adjlist,11,0.185,1,0.2286
graphs/WS-1000.adjlist,11,0.19,1,0.2381
graphs/WS-1000.adjlist,11,0.195,1,0.2567
graphs/WS-1000.adjlist,12,0.14,1,0.0751
graphs/WS-1000.adjlist,12,0.145,1,0.1094
graphs/WS-1000.adjlist,12,0.15,1,0.136
graphs/WS-1000.adjlist,12,0.155,1,0.1498
graphs/WS-1000.adjlist,12,0.16,1,0.17
graphs/WS-1000.adjlist,12,0.165,1,0.1888
graphs/WS-1000.adjlist,12,0.17,1,0.2007
graphs/WS-1000.adjlist,12,0.175,1,0.2154
graphs/WS-1000.adjlist,12,0.18,1,0.2281
graphs/WS-1000.adjlist,12,0.185,1,0.2396
graphs/WS-1000.adjlist,12,0.19,1,0.2521
graphs/WS-1000.adjlist,12,0.195,1,0.2651
graphs/WS-1000.adjlist,13,0.14,1,0.0967
graphs/WS-1000.adjlist,13,0.145,1,0.127
graphs/WS-1000.adjlist,13,0.15,1,0.1435
graphs/WS-1000.adjlist,13,0.155,1,0.1545
graphs/WS-1000.adjlist,13,0.16,1,0.1781
graphs/WS-1000.adjlist,13,0.165,1,0.1946
graphs/WS-1000.adjlist,13,0.17,1,0.2118
graphs/WS-1000.adjlist,13,0.175,1,0.2236
graphs/WS-1000.adjlist,13,0.18,1,0.2354
graphs/WS-1000.adjlist,13,0.185,1,0.2466
graphs/WS-1000.adjlist,13,0.19,1,0.2593
graphs/WS-1000.adjlist,13,0.195,1,0.2713
graphs/WS-1000.adjlist,14,0.14,1,0.1182
graphs/WS-1000.adjlist,14,0.145,1,0.127
graphs/WS-1000.adjlist,14,0.15,1,0.1567
graphs/WS-1000.adjlist,14,0.155,1,0.1691
graphs/WS-1000.adjlist,14,0.16,1,0.1908
graphs/WS-1000.adjlist,14,0.165,1,0.2068
graphs/WS-1000.adjlist,14,0.17,1,0.2188
graphs/WS-1000.adjlist,14,0.175,1,0.2319
graphs/WS-1000.adjlist,14,0.18,1,0.2428
graphs/WS-1000.adjlist,14,0.185,1,0.2595
graphs/WS-1000.adjlist,14,0.19,1,0.2672
graphs/WS-1000.adjlist,14,0.195,1,0.2802
graphs/WS-1000.adjlist,15,0.14,1,0.1225
graphs/WS-1000.adjlist,15,0.145,1,0.1496
graphs/WS-1000.adjlist,15,0.15,1,0.1599
graphs/WS-1000.adjlist,15,0.155,1,0.1815
graphs/WS-1000.adjlist,15,0.16,1,0.2007
graphs/WS-1000.adjlist,15,0.165,1,0.2126
graphs/WS-1000.adjlist,15,0.17,1,0.2259
graphs/WS-1000.adjlist,15,0.175,1,0.2388
graphs/WS-1000.adjlist,15,0.18,1,0.2517
graphs/WS-1000.adjlist,15,0.185,1,0.2615
graphs/WS-1000.adjlist,15,0.19,1,0.2733
graphs/WS-1000.adjlist,15,0.195,1,0.2822
