Network,m,beta,mu,SteadyState
graphs/BA-1000.adjlist,8,0.115,1,0.0023
graphs/BA-1000.adjlist,8,0.12,1,0.0091
graphs/BA-1000.adjlist,8,0.125,1,0.0236
graphs/BA-1000.adjlist,8,0.13,1,0.0342
graphs/BA-1000.adjlist,8,0.135,1,0.0481
graphs/BA-1000.adjlist,8,0.14,1,0.0552
graphs/BA-1000.adjlist,8,0.145,1,0.0658
graphs/BA-1000.adjlist,9,0.09,1,0.0
graphs/BA-1000.adjlist,9,0.095,1,0.0
graphs/BA-1000.adjlist,9,0.1,1,0.0
graphs/BA-1000.adjlist,9,0.105,1,0.0006
graphs/BA-1000.adjlist,9,0.11,1,0.0007
graphs/BA-1000.adjlist,9,0.115,1,0.0049
graphs/BA-1000.adjlist,9,0.12,1,0.0124
graphs/BA-1000.adjlist,9,0.125,1,0.0275
graphs/BA-1000.adjlist,9,0.13,1,0.0427
graphs/BA-1000.adjlist,9,0.135,1,0.0488
graphs/BA-1000.adjlist,9,0.14,1,0.0629
graphs/BA-1000.adjlist,9,0.145,1,0.0763
graphs/BA-1000.adjlist,10,0.09,1,0.0
graphs/BA-1000.adjlist,10,0.095,1,0.0
graphs/BA-1000.adjlist,10,0.1,1,0.0
graphs/BA-1000.adjlist,10,0.105,1,0.0003
graphs/BA-1000.adjlist,10,0.11,1,0.0012
graphs/BA-1000.adjlist,10,0.115,1,0.0058
graphs/BA-1000.adjlist,10,0.12,1,0.0152
graphs/BA-1000.adjlist,10,0.125,1,0.0331
graphs/BA-1000.adjlist,10,0.13,1,0.0482
graphs/BA-1000.adjlist,10,0.135,1,0.0556
graphs/BA-1000.adjlist,10,0.14,1,0.0701
graphs/BA-1000.adjlist,10,0.145,1,0.0813
graphs/BA-1000.adjlist,11,0.09,1,0.0
graphs/BA-1000.adjlist,11,0.095,1,0.0
graphs/BA-1000.adjlist,11,0.1,1,0.0
graphs/BA-1000.adjlist,11,0.105,1,0.0
graphs/BA-1000.adjlist,11,0.11,1,0.0037
graphs/BA-1000.adjlist,11,0.115,1,0.0093
graphs/BA-1000.adjlist,11,0.12,1,0.0246
graphs/BA-1000.adjlist,11,0.125,1,0.0376
graphs/BA-1000.adjlist,11,0.13,1,0.0543
graphs/BA-1000.adjlist,11,0.135,1,0.0628
graphs/BA-1000.adjlist,11,0.14,1,0.0766
graphs/BA-1000.adjlist,11,0.145,1,0.0854
graphs/BA-1000.adjlist,12,0.09,1,0.0
graphs/BA-1000.adjlist,12,0.095,1,0.0
graphs/BA-1000.adjlist,12,0.1,1,0.0
graphs/BA-1000.adjlist,12,0.105,1,0.0002
graphs/BA-1000.adjlist,12,0.11,1,0.0045
graphs/BA-1000.adjlist,12,0.115,1,0.0124
graphs/BA-1000.adjlist,12,0.12,1,0.0278
graphs/BA-1000.adjlist,12,0.125,1,0.0433
graphs/BA-1000.adjlist,12,0.13,1,0.0549
graphs/BA-1000.adjlist,12,0.135,1,0.0677
graphs/BA-1000.adjlist,12,0.14,1,0.0824
graphs/BA-1000.adjlist,12,0.145,1,0.0898
graphs/BA-1000.adjlist,13,0.09,1,0.0
graphs/BA-1000.adjlist,13,0.095,1,0.0
graphs/BA-1000.adjlist,13,0.1,1,0.0001
graphs/BA-1000.adjlist,13,0.105,1,0.0009
graphs/BA-1000.adjlist,13,0.11,1,0.0067
graphs/BA-1000.adjlist,13,0.115,1,0.017
graphs/BA-1000.adjlist,13,0.12,1,0.0302
graphs/BA-1000.adjlist,13,0.125,1,0.0484
graphs/BA-1000.adjlist,13,0.13,1,0.0624
graphs/BA-1000.adjlist,13,0.135,1,0.0741
graphs/BA-1000.adjlist,13,0.14,1,0.088
graphs/BA-1000.adjlist,13,0.145,1,0.0994
graphs/BA-1000.adjlist,14,0.09,1,0.0
graphs/BA-1000.adjlist,14,0.095,1,0.0
graphs/BA-1000.adjlist,14,0.1,1,0.0006
graphs/BA-1000.adjlist,14,0.105,1,0.0023
graphs/BA-1000.adjlist,14,0.11,1,0.0085
graphs/BA-1000.adjlist,14,0.115,1,0.0242
graphs/BA-1000.adjlist,14,0.12,1,0.0374
graphs/BA-1000.adjlist,14,0.125,1,0.0549
graphs/BA-1000.adjlist,14,0.13,1,0.0638
graphs/BA-1000.adjlist,14,0.135,1,0.0839
graphs/BA-1000.adjlist,14,0.14,1,0.0933
graphs/BA-1000.adjlist,14,0.145,1,0.1058
graphs/BA-1000.adjlist,15,0.09,1,0.0
graphs/BA-1000.adjlist,15,0.095,1,0.0
graphs/BA-1000.adjlist,15,0.1,1,0.0002
graphs/BA-1000.adjlist,15,0.105,1,0.0029
graphs/BA-1000.adjlist,15,0.11,1,0.0127
graphs/BA-1000.adjlist,15,0.115,1,0.0317
graphs/BA-1000.adjlist,15,0.12,1,0.0402
graphs/BA-1000.adjlist,15,0.125,1,0.0573
graphs/BA-1000.adjlist,15,0.13,1,0.0705
graphs/BA-1000.adjlist,15,0.135,1,0.0859
graphs/BA-1000.adjlist,15,0.14,1,0.105
graphs/BA-1000.adjlist,15,0.145,1,0.1089
